Bateau,Acheteur,poidsmontant,poidsqte,poidprix
422436,321,409,122,3.3524590164
422436,375,266,95,2.8
422436,386,92,20,4.6
422436,526,1396,126,11.079365079
422436,554,79.2,24,3.3
422436,580,250.5,33,7.5909090909
422436,602,90,12,7.5
428369,2,90,45,2
428369,32,2075.45,1184,1.7529138514
428369,77,75.6,27,2.8
428369,86,89.1,27,3.3
428369,296,80,32,2.5
428369,321,140,49,2.8571428571
428369,368,146.4,48,3.05
428369,382,60,30,2
428369,526,90.85,23,3.95
428369,543,1726.05,1166,1.4803173242
428369,551,165.9,42,3.95
428369,552,240.5,115,2.0913043478
428369,555,84,28,3
428369,558,62,20,3.1
428369,592,342.25,170,2.0132352941
428373,77,44,20,2.2
428373,86,17.26,17.5,0.9862857143
428373,296,2461.5,357,6.8949579832
428373,502,26.4,12,2.2
428373,506,2.4,8,0.3
428373,526,348.9,32.1,10.869158879
428373,538,350,28,12.5
428373,543,26.19,78,0.3357692308
428373,552,21.6,12,1.8
428373,557,22.5,75,0.3
428373,558,46,23,2
428373,566,138,69,2
428373,580,31.58,51,0.6192156863
428373,597,262,25,10.48
428373,610,80.4,29,2.7724137931
445957,86,480,60,8
445957,321,110,11,10
445957,375,1656.2,169,9.8
445957,382,600,60,10
445957,502,520,52,10
445957,526,244.8,62,3.9483870968
445957,543,3679.4,388,9.4829896907
445957,547,375,30,12.5
445957,552,164.8,52,3.1692307692
445957,566,1419.5,167,8.5
445957,597,1266,134,9.447761194
460603,2,113.8,43.6,2.6100917431
460603,7,28,10,2.8
460603,32,336,32,10.5
460603,77,2.8,0.4,7
460603,86,500,50,10
460603,317,9.6,12,0.8
460603,321,623.9,122,5.1139344262
460603,347,2651,304,8.7203947368
460603,367,604.6,61,9.9114754098
460603,391,94.5,26.5,3.5660377358
460603,508,27.6,2.3,12
460603,518,34.8,11.6,3
460603,526,2802.8,341.4,8.2097246632
460603,528,41.8,62,0.6741935484
460603,538,36,8.5,4.2352941176
460603,539,43.85,5.9,7.4322033898
460603,543,4237.95,641.5,6.6063133281
460603,548,31.18,7.1,4.3915492958
460603,552,1829.05,293.5,6.2318568995
460603,566,1913,263,7.2737642586
460603,570,77,24.5,3.1428571429
460603,571,64.4,24.8,2.5967741935
460603,580,19.2,12,1.6
460603,581,212.5,25,8.5
460603,597,9019.2,897.5,10.049247911
460603,604,18,6,3
460603,610,34.5,13.8,2.5
463138,2,585.6,72,8.1333333333
463138,32,348.1,202,1.7232673267
463138,163,166,83,2
463138,368,113.85,45,2.53
463138,382,37.95,15,2.53
463138,543,84.15,51,1.65
463138,551,162,54,3
463138,555,141,47,3
463138,597,260,26,10
463875,12,1081,117,9.2393162393
463875,30,1104,138,8
463875,32,380,38,10
463875,77,55.25,11.5,4.8043478261
463875,86,1849.5,163,11.346625767
463875,273,10,5,2
463875,296,1008.45,113.4,8.8928571429
463875,321,678.8,59,11.505084746
463875,325,2768,292,9.4794520548
463875,344,790,92,8.5869565217
463875,347,4463.5,484,9.222107438
463875,367,1031.45,103.7,9.9464802314
463875,368,1304,121,10.776859504
463875,375,85.6,34,2.5176470588
463875,506,1065,99,10.757575758
463875,508,37.5,7.5,5
463875,526,4620.95,499.5,9.2511511512
463875,534,1399,157,8.9108280255
463875,538,81.05,17.7,4.5790960452
463875,542,176.25,27.5,6.4090909091
463875,543,2604.75,297,8.7702020202
463875,552,1248,156,8
463875,554,589.3,56.3,10.46714032
463875,566,3750.5,448,8.3716517857
463875,571,128.96,27.9,4.6222222222
463875,591,456,38,12
463875,592,1730.5,189,9.1560846561
463875,597,2671.1,307,8.7006514658
463875,602,16.2,1.8,9
463875,604,9.08,3.3,2.7515151515
463875,610,47.3,7.1,6.661971831
463875,613,24,12,2
463880,2,798.59,308,2.5928246753
463880,12,1186.5,300,3.955
463880,15,76.5,45,1.7
463880,30,323.25,200,1.61625
463880,32,1528.62,627,2.4379904306
463880,86,2156.1,352,6.1252840909
463880,163,4083,675,6.0488888889
463880,207,58.8,245,0.24
463880,273,899.15,430,2.0910465116
463880,296,122.5,200,0.6125
463880,297,12.5,50,0.25
463880,317,194,66,2.9393939394
463880,321,1490.3,115,12.959130435
463880,344,1255.84,881,1.4254710556
463880,347,75,25,3
463880,367,864,270,3.2
463880,368,2663,770,3.4584415584
463880,382,143.1,66,2.1681818182
463880,386,1736.25,1350,1.2861111111
463880,392,118,100,1.18
463880,502,1832.25,865,2.1182080925
463880,506,24,75,0.32
463880,508,970,240,4.0416666667
463880,518,488.25,166,2.9412650602
463880,526,2374.25,1950,1.2175641026
463880,528,1747.6,1630,1.0721472393
463880,534,187.9,58,3.2396551724
463880,543,1275.3,3082,0.4137897469
463880,545,90.25,75,1.2033333333
463880,551,1567.4,341,4.5964809384
463880,552,2317.5,1377,1.6830065359
463880,555,1784.9,435,4.1032183908
463880,558,157.75,303,0.5206270627
463880,563,13.2,15,0.88
463880,580,108.8,34,3.2
463880,583,28.7,14,2.05
463880,592,1037.25,645,1.6081395349
463880,597,8539.54,2661.5,3.2085440541
463883,2,3237,1120,2.8901785714
463883,15,2666.4,846,3.1517730496
463883,32,3645,1350,2.7
463883,77,641.8,207,3.1004830918
463883,86,2652.72,949,2.7952792413
463883,138,5505.55,1261.3,4.3649805756
463883,163,879,300,2.93
463883,207,14693,5470,2.6861060329
463883,258,33.99,11,3.09
463883,296,204,60,3.4
463883,321,105.3,30,3.51
463883,325,2430,900,2.7
463883,344,148.28,10.4,14.257692308
463883,347,634.35,205,3.0943902439
463883,367,576,180,3.2
463883,386,316.5,97.3,3.2528263104
463883,392,624.3,210,2.9728571429
463883,526,2915.97,987,2.9543768997
463883,534,27,12,2.25
463883,543,233.55,149,1.5674496644
463883,548,351,120,2.925
463883,551,810.6,270,3.0022222222
463883,555,177.6,60,2.96
463883,558,210.6,60,3.51
463883,571,262.8,90,2.92
463883,580,480,150,3.2
463883,583,1160.6,407,2.8515970516
463883,592,350.8,94,3.7319148936
463883,597,960,300,3.2
463883,609,576,180,3.2
463883,610,442.8,150,2.952
463933,2,1012.3,119.7,8.4569757728
463933,32,1162,133,8.7368421053
463933,77,62,34,1.8235294118
463933,86,721,86,8.3837209302
463933,157,1.4,2,0.7
463933,273,12,4,3
463933,296,7.8,13,0.6
463933,317,398.49,162,2.4598148148
463933,321,161.55,63,2.5642857143
463933,344,6010.7,617,9.741815235
463933,347,17017.7,2035,8.3625061425
463933,367,108,20,5.4
463933,391,201.6,54.4,3.7058823529
463933,502,8817,1026,8.5935672515
463933,508,176,22,8
463933,518,27.5,33,0.8333333333
463933,526,1880.7,844.2,2.2277896233
463933,528,63.7,123,0.5178861789
463933,534,290,29,10
463933,539,46.4,20,2.32
463933,543,182.05,119,1.5298319328
463933,545,125,74,1.6891891892
463933,548,157.25,55.5,2.8333333333
463933,551,852,95,8.9684210526
463933,552,3606.85,625,5.77096
463933,558,49.5,39,1.2692307692
463933,570,87.9,18.3,4.8032786885
463933,571,109.9,74,1.4851351351
463933,580,30,10,3
463933,597,2684.1,450,5.9646666667
463933,610,82.6,77,1.0727272727
529743,12,220,22,10
529743,30,11500.7,1257,9.1493237868
529743,32,2509,266.8,9.404047976
529743,296,2601.75,309.5,8.4063004847
529743,325,297,33,9
529743,344,270,27,10
529743,347,1411,147,9.5986394558
529743,367,1692,159,10.641509434
529743,368,312,24,13
529743,375,205.8,21,9.8
529743,382,253,23,11
529743,508,115,23,5
529743,526,4418.2,604,7.3149006623
529743,543,5188.3,563,9.2154529307
529743,566,320,32,10
529743,591,702,54,13
529743,592,220.5,21,10.5
529743,597,1917,213,9
529743,602,152,38,4
540223,2,765.25,89,8.5983146067
540223,12,911.6,90,10.128888889
